loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK	drv1	drv1max	drv1min	drv2	drv2max	drv2min	drv3
12	813	1	100	-30119.867	0.424753047682202	-30120.2917530477	-30119.4422469523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	813	2	100	-30269.158	71.6563405950566	-30340.8143405951	-30197.5016594049	-149.291000000001	-78.0594124526267	-220.522587547376	467.498	696.204230963734	238.791769036265	6.52416793988851	-149.291000000001	-78.0594124526267	-220.522587547376	467.498	696.204230963734	238.791769036265	6.52416793988851
12	813	3	100	-30885.947	371.594159106165	-31257.5411591062	-30514.3528408938	-616.789000000001	-316.851181488892	-916.72681851111	96.0280000000021	160.374730115463	31.6812698845411	0.258421715322405	-616.789000000001	-316.851181488892	-916.72681851111	96.0280000000021	160.374730115463	31.6812698845411	0.258421715322405
12	813	4	100	-31406.708	607.185247501813	-32013.8932475018	-30799.5227524982	-520.760999999999	-285.169911604351	-756.352088395646	78.5989999999983	174.309137256726	-17.1111372567295	0.129448138477316	-520.760999999999	-285.169911604351	-756.352088395646	78.5989999999983	174.309137256726	-17.1111372567295	0.129448138477316
12	813	5	100	-31848.87	747.066198640733	-32595.9361986407	-31101.8038013593	-442.162	-302.28104886108	-582.04295113892	47.1450000000004	77.7959912687887	16.4940087312121	0.0631068573116807	-442.162	-302.28104886108	-582.04295113892	47.1450000000004	77.7959912687887	16.4940087312121	0.0631068573116807
12	813	6	100	-32338.177	917.598141048441	-33255.7751410484	-31420.5788589516	-489.307000000001	-318.775057592292	-659.838942407709	85.0090000000018	992.028478455176	-822.010478455173	0.0926429514153888	-489.307000000001	-318.775057592292	-659.838942407709	85.0090000000018	992.028478455176	-822.010478455173	0.0926429514153888
12	813	7	100	-32912.493	1995.14956191132	-34907.6425619113	-30917.3434380887	-574.316000000003	503.23542086288	-1651.86742086289	28.645999999997	1060.31086670836	-1003.01886670836	0.0143578208605848	-574.316000000003	503.23542086288	-1651.86742086289	28.645999999997	1060.31086670836	-1003.01886670836	0.0143578208605848
12	813	8	100	-33515.455	1949.2630077568	-35464.7180077568	-31566.1919922432	-602.962	-557.075445845476	-648.848554154523	149.953999999998	198.380724285512	101.527275714484	0.0769285619248292	-602.962	-557.075445845476	-648.848554154523	149.953999999998	198.380724285512	101.527275714484	0.0769285619248292
12	813	9	100	-33968.463	2043.57628619684	-36012.0392861968	-31924.8867138032	-453.008000000002	-358.694721559964	-547.321278440039	233.525000000009	246.763790192329	220.286209807689	0.114272709845643	-453.008000000002	-358.694721559964	-547.321278440039	233.525000000009	246.763790192329	220.286209807689	0.114272709845643
12	813	10	100	-34187.946	1962.50179794912	-36150.4477979491	-32225.4442020509	-219.482999999993	-138.408511752276	-300.55748824771	1842.95500000001	5568.37236362292	-1882.4623636229	0.939084489973949	-219.482999999993	-138.408511752276	-300.55748824771	1842.95500000001	5568.37236362292	-1882.4623636229	0.939084489973949
12	813	11	100	-36250.384	5768.99364981975	-42019.3776498197	-30481.3903501802	-2062.438	1744.05385187063	-5868.92985187063	1592.416	5070.34710284512	-1885.51510284512	0.276030118363842	-2062.438	1744.05385187063	-5868.92985187063	1592.416	5070.34710284512	-1885.51510284512	0.276030118363842
12	813	12	100	-36720.406	5440.43290079424	-42160.8389007942	-31279.9730992058	-470.022000000004	-141.461250974496	-798.582749025513	NA	NA	NA	NA	-470.022000000004	-141.461250974496	-798.582749025513	NA	NA	NA	NA
