loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK	drv1	drv1max	drv1min	drv2	drv2max	drv2min	drv3
12	352	1	10	-13331.55	0.427525177946135	-13331.9775251779	-13331.1224748221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	352	2	10	-13423.17	80.5479022418061	-13503.7179022418	-13342.6220977582	-91.6200000000008	-11.4996229361409	-171.740377063861	183.490000000002	254.219702923711	112.760297076292	2.27802332392421	-91.6200000000008	-11.4996229361409	-171.740377063861	183.490000000002	254.219702923711	112.760297076292	2.27802332392421
12	352	3	10	-13331.3	71.157228101656	-13402.4572281017	-13260.1427718983	91.8700000000008	101.260674140151	82.4793258598508	171.630000000001	245.048509679757	98.2114903202454	2.41198265557518	91.8700000000008	101.260674140151	82.4793258598508	171.630000000001	245.048509679757	98.2114903202454	2.41198265557518
12	352	4	10	-13411.06	153.966411921562	-13565.0264119216	-13257.0935880784	-79.7600000000002	3.04918381990541	-162.569183819906	160.07	174.56164488827	145.57835511173	1.03964233498893	-79.7600000000002	3.04918381990541	-162.569183819906	160.07	174.56164488827	145.57835511173	1.03964233498893
12	352	5	10	-13330.75	85.6488729899261	-13416.3988729899	-13245.1011270101	80.3099999999995	148.627538931635	11.9924610683639	96.2899999999991	113.723069796829	78.8569302031686	1.12424129633702	80.3099999999995	148.627538931635	11.9924610683639	96.2899999999991	113.723069796829	78.8569302031686	1.12424129633702
12	352	6	10	-13346.73	171.399481718392	-13518.1294817184	-13175.3305182816	-15.9799999999996	69.7706087284664	-101.730608728466	46.5600000000013	116.738687695243	-23.6186876952404	0.271646095619466	-15.9799999999996	69.7706087284664	-101.730608728466	46.5600000000013	116.738687695243	-23.6186876952404	0.271646095619466
12	352	7	10	-13409.27	327.3287781421	-13736.5987781421	-13081.9412218579	-62.5400000000009	93.3892964237068	-218.469296423708	97.2100000000009	110.246565183829	84.1734348161733	0.296979692869535	-62.5400000000009	93.3892964237068	-218.469296423708	97.2100000000009	110.246565183829	84.1734348161733	0.296979692869535
12	352	8	10	-13374.6	158.362916534564	-13532.9629165346	-13216.2370834654	34.6700000000001	203.635861607535	-134.295861607535	478.51	1348.73931249252	-391.719312492523	3.02160386074703	34.6700000000001	203.635861607535	-134.295861607535	478.51	1348.73931249252	-391.719312492523	3.02160386074703
12	352	9	10	-13818.44	1197.55809063462	-15015.9980906346	-12620.8819093654	-443.84	595.355174100059	-1483.03517410006	893	1181.63736633882	604.362633661176	0.745684077443601	-443.84	595.355174100059	-1483.03517410006	893	1181.63736633882	604.362633661176	0.745684077443601
12	352	10	10	-13369.28	447.000282873388	-13816.2802828734	-12922.2797171266	449.16	1199.71780776124	-301.397807761235	523.49	1175.22280224607	-128.242802246073	1.17111782711842	449.16	1199.71780776124	-301.397807761235	523.49	1175.22280224607	-128.242802246073	1.17111782711842
12	352	11	10	-13443.61	545.825288388551	-13989.4352883886	-12897.7847116114	-74.3299999999999	24.4950055151627	-173.155005515163	141.4	158.275917565191	124.524082434808	0.259057253315355	-74.3299999999999	24.4950055151627	-173.155005515163	141.4	158.275917565191	124.524082434808	0.259057253315355
12	352	12	10	-13659.34	463.87620043858	-14123.2162004386	-13195.4637995614	-215.73	-133.780912050029	-297.67908794997	NA	NA	NA	NA	-215.73	-133.780912050029	-297.67908794997	NA	NA	NA	NA
