loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK	drv1	drv1max	drv1min	drv2	drv2max	drv2min	drv3
12	226	1	10	-8405.41	0.610009107400229	-8406.0200091074	-8404.7999908926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	226	2	10	-8536.78	168.847905261247	-8705.62790526125	-8367.93209473875	-131.370000000001	36.8678961538461	-299.607896153848	82.3000000000011	223.783850717718	-59.1838507177156	0.487420912167455	-131.370000000001	36.8678961538461	-299.607896153848	82.3000000000011	223.783850717718	-59.1838507177156	0.487420912167455
12	226	3	10	-8585.85	142.093859825117	-8727.94385982512	-8443.75614017488	-49.0699999999997	-22.3159545638695	-75.8240454361299	127.34	162.18004889085	92.4999511091504	0.896168209919308	-49.0699999999997	-22.3159545638695	-75.8240454361299	127.34	162.18004889085	92.4999511091504	0.896168209919308
12	226	4	10	-8762.26	203.687954152097	-8965.9479541521	-8558.5720458479	-176.41	-114.81590567302	-238.00409432698	177.58	202.490860334391	152.669139665609	0.871823769546029	-176.41	-114.81590567302	-238.00409432698	177.58	202.490860334391	152.669139665609	0.871823769546029
12	226	5	10	-8761.09	167.004720159508	-8928.09472015951	-8594.08527984049	1.17000000000007	37.8532339925888	-35.5132339925887	56.2299999999996	75.6332402057259	36.8267597942732	0.336697070276179	1.17000000000007	37.8532339925888	-35.5132339925887	56.2299999999996	75.6332402057259	36.8267597942732	0.336697070276179
12	226	6	10	-8703.69	223.091194357823	-8926.78119435782	-8480.59880564218	57.3999999999996	113.486474198315	1.31352580168451	173.529999999999	308.453767755733	38.6062322442649	0.777843341148053	57.3999999999996	113.486474198315	1.31352580168451	173.529999999999	308.453767755733	38.6062322442649	0.777843341148053
12	226	7	10	-8819.82	414.101436311872	-9233.92143631187	-8405.71856368813	-116.129999999999	74.8802419540498	-307.140241954048	22.7199999999993	31.2393021377004	14.2006978622983	0.0548657840995466	-116.129999999999	74.8802419540498	-307.140241954048	22.7199999999993	31.2393021377004	14.2006978622983	0.0548657840995466
12	226	8	10	-8913.23	613.630980403622	-9526.86098040362	-8299.59901959638	-93.4099999999999	106.11954409175	-292.93954409175	389.110000000001	540.469095055484	237.750904944518	0.634110748033059	-93.4099999999999	106.11954409175	-292.93954409175	389.110000000001	540.469095055484	237.750904944518	0.634110748033059
12	226	9	10	-8617.53	262.742341256389	-8880.27234125639	-8354.78765874361	295.700000000001	646.588639147234	-55.1886391472324	410.630000000003	720.965348314331	100.294651685675	1.56286192029971	295.700000000001	646.588639147234	-55.1886391472324	410.630000000003	720.965348314331	100.294651685675	1.56286192029971
12	226	10	10	-8732.46	303.295632089294	-9035.75563208929	-8429.16436791071	-114.930000000002	-74.3767091670971	-155.483290832907	284.050000000003	325.56973240579	242.530267594216	0.936544974430673	-114.930000000002	-74.3767091670971	-155.483290832907	284.050000000003	325.56973240579	242.530267594216	0.936544974430673
12	226	11	10	-8563.34	221.222608850602	-8784.5626088506	-8342.1173911494	169.120000000001	251.193023238693	87.0469767613089	231.970000000001	265.218258213226	198.721741786777	1.04858179372008	169.120000000001	251.193023238693	87.0469767613089	231.970000000001	265.218258213226	198.721741786777	1.04858179372008
12	226	12	10	-8626.19	172.397843825135	-8798.58784382513	-8453.79215617487	-62.8500000000004	-14.0252349745329	-111.674765025468	NA	NA	NA	NA	-62.8500000000004	-14.0252349745329	-111.674765025468	NA	NA	NA	NA
